sample	prefix	sample_barcode	flowcell_barcode	lane	pop	ploidy	fq1	fq2
B2MV-10	B2MV-10_seq2_L2	B2MV-10	HJ3TTDRXX	L002	B2-MV	2	data/fastq/B2MV-10_seq2_L2_R1_001.fastq.gz	data/fastq/B2MV-10_seq2_L2_R2_001.fastq.gz
B2MV-20	B2MV-20_95_L1	B2MV-20	HCKV7DRXX	L001	B2-MV	2	data/fastq/B2MV-20_95_L1_R1_001.fastq.gz	data/fastq/B2MV-20_95_L1_R2_001.fastq.gz
B2MV-20	B2MV-20_95_L2	B2MV-20	HCKV7DRXX	L002	B2-MV	2	data/fastq/B2MV-20_95_L2_R1_001.fastq.gz	data/fastq/B2MV-20_95_L2_R2_001.fastq.gz
B2MV-20	B2MV-20_96_L1	B2MV-20	HCLMHDRXX	L001	B2-MV	2	data/fastq/B2MV-20_96_L1_R1_001.fastq.gz	data/fastq/B2MV-20_96_L1_R2_001.fastq.gz
B2MV-20	B2MV-20_96_L2	B2MV-20	HCLMHDRXX	L002	B2-MV	2	data/fastq/B2MV-20_96_L2_R1_001.fastq.gz	data/fastq/B2MV-20_96_L2_R2_001.fastq.gz
B2MV-20	B2MV-20_seq2_L2	B2MV-20	HJ3TTDRXX	L002	B2-MV	2	data/fastq/B2MV-20_seq2_L2_R1_001.fastq.gz	data/fastq/B2MV-20_seq2_L2_R2_001.fastq.gz
B2MV-18	B2MV-18_95_L1	B2MV-18	HCKV7DRXX	L001	B2-MV	2	data/fastq/B2MV-18_95_L1_R1_001.fastq.gz	data/fastq/B2MV-18_95_L1_R2_001.fastq.gz
B2MV-18	B2MV-18_95_L2	B2MV-18	HCKV7DRXX	L002	B2-MV	2	data/fastq/B2MV-18_95_L2_R1_001.fastq.gz	data/fastq/B2MV-18_95_L2_R2_001.fastq.gz
B2MV-18	B2MV-18_96_L1	B2MV-18	HCLMHDRXX	L001	B2-MV	2	data/fastq/B2MV-18_96_L1_R1_001.fastq.gz	data/fastq/B2MV-18_96_L1_R2_001.fastq.gz
B2MV-18	B2MV-18_96_L2	B2MV-18	HCLMHDRXX	L002	B2-MV	2	data/fastq/B2MV-18_96_L2_R1_001.fastq.gz	data/fastq/B2MV-18_96_L2_R2_001.fastq.gz
B2MV-18	B2MV-18_seq2_L2	B2MV-18	HJ3TTDRXX	L002	B2-MV	2	data/fastq/B2MV-18_seq2_L2_R1_001.fastq.gz	data/fastq/B2MV-18_seq2_L2_R2_001.fastq.gz
B2MV-9	B2MV-9_95_L1	B2MV-9	HCKV7DRXX	L001	B2-MV	2	data/fastq/B2MV-9_95_L1_R1_001.fastq.gz	data/fastq/B2MV-9_95_L1_R2_001.fastq.gz
B2MV-9	B2MV-9_95_L2	B2MV-9	HCKV7DRXX	L002	B2-MV	2	data/fastq/B2MV-9_95_L2_R1_001.fastq.gz	data/fastq/B2MV-9_95_L2_R2_001.fastq.gz
B2MV-9	B2MV-9_96_L1	B2MV-9	HCLMHDRXX	L001	B2-MV	2	data/fastq/B2MV-9_96_L1_R1_001.fastq.gz	data/fastq/B2MV-9_96_L1_R2_001.fastq.gz
B2MV-9	B2MV-9_96_L2	B2MV-9	HCLMHDRXX	L002	B2-MV	2	data/fastq/B2MV-9_96_L2_R1_001.fastq.gz	data/fastq/B2MV-9_96_L2_R2_001.fastq.gz
B2MV-9	B2MV-9_seq2_L2	B2MV-9	HJ3TTDRXX	L002	B2-MV	2	data/fastq/B2MV-9_seq2_L2_R1_001.fastq.gz	data/fastq/B2MV-9_seq2_L2_R2_001.fastq.gz
