sample	prefix	sample_barcode	lane	ploidy	fq1	fq2	pop	elevation
NAY-Fa18	NAYFa18_seq2_L1	NAY-Fa18	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/NAYFa18_seq2_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/NAYFa18_seq2_L1_R2_001.fastq.gz	TNA	high
NAY-Fa18	NAYFa18_L1	NAY-Fa18	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/NAYFa18_L1_R1_001_CMusHH9rLSZU.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/NAYFa18_L1_R2_001_X95W8CUzNu30.fastq.gz	TNA	high
NAY-Fa18	NAYFa18_L2	NAY-Fa18	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/NAYFa18_L2_R1_001_FkAJHP9hj8fn.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/NAYFa18_L2_R2_001_tsUMEmejLyDb.fastq.gz	TNA	high
NAY-Fa18	NAYFa18_seq2_L2	NAY-Fa18	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/NAYFa18_seq2_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/NAYFa18_seq2_L2_R2_001.fastq.gz	TNA	high
NAY-Ha7	NAYHa7_L1	NAY-Ha7	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/NAYHa7_L1_R1_001_bEzdIFcPNYuP.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/NAYHa7_L1_R2_001_iGW6FgD4Ms4R.fastq.gz	TNA	high
NAY-Ha7	NAYHa7_L2	NAY-Ha7	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/NAYHa7_L2_R1_001_chJcRomsf1tg.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/NAYHa7_L2_R2_001_KpCohW7gGef4.fastq.gz	TNA	high
NAY-Ic2	NAYIc2_L1	NAY-Ic2	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/NAYIc2_L1_R1_001_SNDFGzM0Na04.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/NAYIc2_L1_R2_001_96g1bdaDbxtp.fastq.gz	TNA	high
NAY-Ic2	NAYIc2_L2	NAY-Ic2	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/NAYIc2_L2_R1_001_e3lRvPtr2jR2.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/NAYIc2_L2_R2_001_UeMRJNPaBu1k.fastq.gz	TNA	high
NAY-Lc5	NAYLc5_L1	NAY-Lc5	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/NAYLc5_L1_R1_001_9ezZhUPvlcnk.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/NAYLc5_L1_R2_001_KgK3C6mNHfRw.fastq.gz	TNA	high
NAY-Lc5	NAYLc5_L2	NAY-Lc5	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/NAYLc5_L2_R1_001_FqXQM84NNejF.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/NAYLc5_L2_R2_001_j24slqwEtlNp.fastq.gz	TNA	high
