sample	prefix	sample_barcode	lane	ploidy	fq1	fq2	pop	elevation
B2-MV20	B2MV-20_96_L2	B2-MV20	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-20_96_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-20_96_L2_R2_001.fastq.gz	DBM	high
B2-MV20	B2MV-20_seq2_L2	B2-MV20	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-20_seq2_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-20_seq2_L2_R2_001.fastq.gz	DBM	high
B2-MV2	B2MV-2_95_L1	B2-MV2	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-2_95_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-2_95_L1_R2_001.fastq.gz	DBM	high
B2-MV2	B2MV-2_95_L2	B2-MV2	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-2_95_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-2_95_L2_R2_001.fastq.gz	DBM	high
B2-MV2	B2MV-2_96_L1	B2-MV2	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-2_96_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-2_96_L1_R2_001.fastq.gz	DBM	high
B2-MV2	B2MV-2_96_L2	B2-MV2	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-2_96_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-2_96_L2_R2_001.fastq.gz	DBM	high
B2-MV3	B2MV-3_95_L1	B2-MV3	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-3_95_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-3_95_L1_R2_001.fastq.gz	DBM	high
B2-MV3	B2MV-3_95_L2	B2-MV3	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-3_95_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-3_95_L2_R2_001.fastq.gz	DBM	high
B2-MV3	B2MV-3_96_L1	B2-MV3	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-3_96_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-3_96_L1_R2_001.fastq.gz	DBM	high
B2-MV3	B2MV-3_96_L2	B2-MV3	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-3_96_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-3_96_L2_R2_001.fastq.gz	DBM	high
B2-MV6	B2MV-6_95_L1	B2-MV6	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-6_95_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-6_95_L1_R2_001.fastq.gz	DBM	high
B2-MV6	B2MV-6_95_L2	B2-MV6	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-6_95_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-6_95_L2_R2_001.fastq.gz	DBM	high
B2-MV6	B2MV-6_96_L1	B2-MV6	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-6_96_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-6_96_L1_R2_001.fastq.gz	DBM	high
B2-MV6	B2MV-6_96_L2	B2-MV6	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-6_96_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-6_96_L2_R2_001.fastq.gz	DBM	high
B2-MV6	B2MV-6_seq2_L2	B2-MV6	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-6_seq2_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-6_seq2_L2_R2_001.fastq.gz	DBM	high
B2-MV9	B2MV-9_95_L1	B2-MV9	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-9_95_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-9_95_L1_R2_001.fastq.gz	DBM	high
B2-MV9	B2MV-9_95_L2	B2-MV9	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-9_95_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-9_95_L2_R2_001.fastq.gz	DBM	high
B2-MV9	B2MV-9_96_L1	B2-MV9	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-9_96_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-9_96_L1_R2_001.fastq.gz	DBM	high
B2-MV9	B2MV-9_96_L2	B2-MV9	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-9_96_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-9_96_L2_R2_001.fastq.gz	DBM	high
B2-MV9	B2MV-9_seq2_L2	B2-MV9	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-9_seq2_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-9_seq2_L2_R2_001.fastq.gz	DBM	high
K2-s2-12	K2S2-12_95_L1	K2-s2-12	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-12_95_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-12_95_L1_R2_001.fastq.gz	DKS	low
K2-s2-12	K2S2-12_95_L2	K2-s2-12	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-12_95_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-12_95_L2_R2_001.fastq.gz	DKS	low
K2-s2-12	K2S2-12_96_L1	K2-s2-12	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-12_96_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-12_96_L1_R2_001.fastq.gz	DKS	low
K2-s2-12	K2S2-12_96_L2	K2-s2-12	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-12_96_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-12_96_L2_R2_001.fastq.gz	DKS	low
K2-s2-3	K2S2-3_95_L1	K2-s2-3	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-3_95_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-3_95_L1_R2_001.fastq.gz	DKS	low
K2-s2-3	K2S2-3_95_L2	K2-s2-3	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-3_95_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-3_95_L2_R2_001.fastq.gz	DKS	low
K2-s2-3	K2S2-3_96_L1	K2-s2-3	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-3_96_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-3_96_L1_R2_001.fastq.gz	DKS	low
K2-s2-3	K2S2-3_96_L2	K2-s2-3	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-3_96_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-3_96_L2_R2_001.fastq.gz	DKS	low
K2-s2-3	K2S2-3_seq2_L2	K2-s2-3	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-3_seq2_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-3_seq2_L2_R2_001.fastq.gz	DKS	low
K2-s2-4	K2S2-4_95_L1	K2-s2-4	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-4_95_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-4_95_L1_R2_001.fastq.gz	DKS	low
K2-s2-4	K2S2-4_95_L2	K2-s2-4	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-4_95_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-4_95_L2_R2_001.fastq.gz	DKS	low
K2-s2-4	K2S2-4_96_L1	K2-s2-4	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-4_96_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-4_96_L1_R2_001.fastq.gz	DKS	low
K2-s2-4	K2S2-4_96_L2	K2-s2-4	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-4_96_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-4_96_L2_R2_001.fastq.gz	DKS	low
K2-s2-9	K2S2-9_95_L1	K2-s2-9	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-9_95_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-9_95_L1_R2_001.fastq.gz	DKS	low
K2-s2-9	K2S2-9_95_L2	K2-s2-9	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-9_95_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-9_95_L2_R2_001.fastq.gz	DKS	low
K2-s2-9	K2S2-9_96_L1	K2-s2-9	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-9_96_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-9_96_L1_R2_001.fastq.gz	DKS	low
K2-s2-9	K2S2-9_96_L2	K2-s2-9	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-9_96_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-9_96_L2_R2_001.fastq.gz	DKS	low
K2-s2-9	K2S2-9_seq2_L2	K2-s2-9	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-9_seq2_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-9_seq2_L2_R2_001.fastq.gz	DKS	low
K2-s2-A12	K2S2-A12_95_L1	K2-s2-A12	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-A12_95_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-A12_95_L1_R2_001.fastq.gz	DKS	low
K2-s2-A12	K2S2-A12_95_L2	K2-s2-A12	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-A12_95_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-A12_95_L2_R2_001.fastq.gz	DKS	low
K2-s2-A12	K2S2-A12_96_L1	K2-s2-A12	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-A12_96_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-A12_96_L1_R2_001.fastq.gz	DKS	low
K2-s2-A12	K2S2-A12_96_L2	K2-s2-A12	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-A12_96_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-A12_96_L2_R2_001.fastq.gz	DKS	low
K2-s2-A12	K2S2-A12_seq2_L2	K2-s2-A12	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-A12_seq2_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-A12_seq2_L2_R2_001.fastq.gz	DKS	low
K2-s2-A17	K2S2-A17_95_L1	K2-s2-A17	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-A17_95_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-A17_95_L1_R2_001.fastq.gz	DKS	low
K2-s2-A17	K2S2-A17_95_L2	K2-s2-A17	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-A17_95_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-A17_95_L2_R2_001.fastq.gz	DKS	low
K2-s2-A17	K2S2-A17_96_L1	K2-s2-A17	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-A17_96_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-A17_96_L1_R2_001.fastq.gz	DKS	low
K2-s2-A17	K2S2-A17_96_L2	K2-s2-A17	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-A17_96_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-A17_96_L2_R2_001.fastq.gz	DKS	low
K2-s2-A17	K2S2-A17_seq2_L2	K2-s2-A17	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-A17_seq2_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-A17_seq2_L2_R2_001.fastq.gz	DKS	low
K2-s2-A5	K2S2-A5_95_L1	K2-s2-A5	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-A5_95_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-A5_95_L1_R2_001.fastq.gz	DKS	low
K2-s2-A5	K2S2-A5_95_L2	K2-s2-A5	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-A5_95_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-A5_95_L2_R2_001.fastq.gz	DKS	low
K2-s2-A5	K2S2-A5_96_L1	K2-s2-A5	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-A5_96_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-A5_96_L1_R2_001.fastq.gz	DKS	low
K2-s2-A5	K2S2-A5_96_L2	K2-s2-A5	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-A5_96_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-A5_96_L2_R2_001.fastq.gz	DKS	low
K2-s2-A5	K2S2-A5_seq2_L2	K2-s2-A5	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-A5_seq2_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2S2-A5_seq2_L2_R2_001.fastq.gz	DKS	low
RCB-A16	RCB-A16_95_L1	RCB-A16	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-A16_95_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-A16_95_L1_R2_001.fastq.gz	DPR	high
RCB-A16	RCB-A16_95_L2	RCB-A16	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-A16_95_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-A16_95_L2_R2_001.fastq.gz	DPR	high
RCB-A16	RCB-A16_96_L1	RCB-A16	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-A16_96_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-A16_96_L1_R2_001.fastq.gz	DPR	high
RCB-A16	RCB-A16_96_L2	RCB-A16	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-A16_96_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-A16_96_L2_R2_001.fastq.gz	DPR	high
RCB-A16	RCB-A16_seq2_L2	RCB-A16	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-A16_seq2_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-A16_seq2_L2_R2_001.fastq.gz	DPR	high
RCB-B15	RCB-B15_95_L1	RCB-B15	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-B15_95_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-B15_95_L1_R2_001.fastq.gz	DPR	high
RCB-B15	RCB-B15_95_L2	RCB-B15	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-B15_95_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-B15_95_L2_R2_001.fastq.gz	DPR	high
RCB-B15	RCB-B15_96_L1	RCB-B15	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-B15_96_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-B15_96_L1_R2_001.fastq.gz	DPR	high
RCB-B15	RCB-B15_96_L2	RCB-B15	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-B15_96_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-B15_96_L2_R2_001.fastq.gz	DPR	high
RCB-B17	RCB-B17_95_L1	RCB-B17	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-B17_95_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-B17_95_L1_R2_001.fastq.gz	DPR	high
RCB-B17	RCB-B17_95_L2	RCB-B17	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-B17_95_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-B17_95_L2_R2_001.fastq.gz	DPR	high
RCB-B17	RCB-B17_96_L1	RCB-B17	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-B17_96_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-B17_96_L1_R2_001.fastq.gz	DPR	high
RCB-B17	RCB-B17_96_L2	RCB-B17	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-B17_96_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-B17_96_L2_R2_001.fastq.gz	DPR	high
RCB-B18	RCB-B18_95_L1	RCB-B18	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-B18_95_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-B18_95_L1_R2_001.fastq.gz	DPR	high
RCB-B18	RCB-B18_95_L2	RCB-B18	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-B18_95_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-B18_95_L2_R2_001.fastq.gz	DPR	high
RCB-B18	RCB-B18_96_L1	RCB-B18	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-B18_96_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-B18_96_L1_R2_001.fastq.gz	DPR	high
RCB-B18	RCB-B18_96_L2	RCB-B18	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-B18_96_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-B18_96_L2_R2_001.fastq.gz	DPR	high
RCB-B19	RCB-B19_95_L1	RCB-B19	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-B19_95_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-B19_95_L1_R2_001.fastq.gz	DPR	high
RCB-B19	RCB-B19_95_L2	RCB-B19	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-B19_95_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-B19_95_L2_R2_001.fastq.gz	DPR	high
RCB-B19	RCB-B19_96_L1	RCB-B19	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-B19_96_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-B19_96_L1_R2_001.fastq.gz	DPR	high
RCB-B19	RCB-B19_96_L2	RCB-B19	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-B19_96_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-B19_96_L2_R2_001.fastq.gz	DPR	high
RCB-B19	RCB-B19_seq2_L2	RCB-B19	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-B19_seq2_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-B19_seq2_L2_R2_001.fastq.gz	DPR	high
RCB-C19	RCB-C19_95_L1	RCB-C19	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-C19_95_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-C19_95_L1_R2_001.fastq.gz	DPR	high
RCB-C19	RCB-C19_95_L2	RCB-C19	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-C19_95_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-C19_95_L2_R2_001.fastq.gz	DPR	high
RCB-C19	RCB-C19_96_L1	RCB-C19	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-C19_96_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-C19_96_L1_R2_001.fastq.gz	DPR	high
RCB-C19	RCB-C19_96_L2	RCB-C19	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-C19_96_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-C19_96_L2_R2_001.fastq.gz	DPR	high
RCB-C8	RCB-C8_95_L1	RCB-C8	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-C8_95_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-C8_95_L1_R2_001.fastq.gz	DPR	high
RCB-C8	RCB-C8_95_L2	RCB-C8	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-C8_95_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-C8_95_L2_R2_001.fastq.gz	DPR	high
RCB-C8	RCB-C8_96_L1	RCB-C8	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-C8_96_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-C8_96_L1_R2_001.fastq.gz	DPR	high
RCB-C8	RCB-C8_96_L2	RCB-C8	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-C8_96_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RCB-C8_96_L2_R2_001.fastq.gz	DPR	high
V2-b11	V2B-11_95_L1	V2-b11	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/V2B-11_95_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/V2B-11_95_L1_R2_001.fastq.gz	DVB	low
V2-b11	V2B-11_95_L2	V2-b11	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/V2B-11_95_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/V2B-11_95_L2_R2_001.fastq.gz	DVB	low
V2-b11	V2B-11_96_L1	V2-b11	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/V2B-11_96_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/V2B-11_96_L1_R2_001.fastq.gz	DVB	low
V2-b11	V2B-11_96_L2	V2-b11	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/V2B-11_96_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/V2B-11_96_L2_R2_001.fastq.gz	DVB	low
